-1.0,1.0,0.0,0.0
-1.0,1.0,0.236068,-0.34463
-0.236068,1.0,-0.236068,0.350841
-0.236068,1.0,0.538362,-0.656793
-0.236068,1.0,0.577801,-0.674447
-0.236068,1.0,0.688819,-0.67965
0.335544,1.0,0.335544,-0.472931
0.335544,1.0,0.642109,-0.686217
0.64135,1.0,0.64135,-0.686213
0.64135,1.0,0.642601,-0.686218
0.64135,1.0,0.642636,-0.686218
0.64135,0.642643,0.642643,-0.686218
0.641996,0.642643,0.641996,-0.686217
0.642392,0.642643,0.642392,-0.686218
0.642517,0.642643,0.642517,-0.686218
0.64258,0.642643,0.64258,-0.686218
0.642611,0.642643,0.642611,-0.686218
0.642627,0.642643,0.642627,-0.686218
